skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;website;year_founded;cluster_architecture___methods;cluster_bi___analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis___stats;cluster_data_engineering;cluster_data_science___ml;cluster_databases___storage;cluster_devops___containers;cluster_dynamic___web;cluster_enterprise___managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy___mainframe;cluster_mobile___desktop;cluster_networking;cluster_os___embedded;cluster_scripting___shell;cluster_security___identity;cluster_systems_programming;cluster_testing__qa___debugging;cluster_tools___editors;education_hybrid
Performance tuning, CSS, JUnit, MongoDB, Microservices, SQL, Analysis skills, Docker, ECMAScript, Scalability, Integration testing, Unit testing, GraphQL, TypeScript, HTML5;;0;none;0.9;0.9;;0;angular, api development, code quality, css, debugging, design patterns, docker, frontend development, full stack, graphql, html, integration testing, jasmine, java, javascript, jest, junit, karma, kubernetes, microservices, mockito, mongodb, mysql, ngrx, nosql, performance tuning, postgresql, rest, rxjs, software engineering, spring boot, sql, typescript, ui/ux, unit testing, websocket;analytical skills, continuous learning, cross-functional collaboration, passion, problem solving;bachelor;Bachelor's;;1;angular, api development, code quality, css, debugging, design patterns, docker, frontend development, full stack, graphql, html, integration testing, jasmine, java, javascript, jest, junit, karma, kubernetes, microservices, mockito, mongodb, mysql, ngrx, nosql, performance tuning, postgresql, rest, rxjs, software engineering, spring boot, sql, typescript, ui/ux, unit testing, websocket;analytical skills, continuous learning, cross-functional collaboration, passion, problem solving;;;1;Full Stack Software Engineer (Angular + Spring Boot);Remote;3138422.0;Treinetic;4;USD;;;;;4.1;2025-10-03T00:00:00;Contract;WORK_FROM_HOME;;;United States;38.0;-97.0;;Battaramulla, Sri Lanka;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;www.treinetic.com;;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;bachelor
Computer science, Azure, Kanban, C#, Microsoft SQL Server, Docker, Mentoring, GitHub, Scalability, Integration testing, Unit testing, AI;ai;1;ai_integration;0.9;0.9;github copilot, cursor, ai pair programmers;0;agile, api, api development, azure, c#, ci/cd, clean architecture, clean code, docker, dotnet, frontend development, full stack, git, github, integration testing, kanban, less, oop, pair programming, qa, react, scrum, soa, software engineering, sql server, unit testing, version control;accountability, collaboration, mentoring, ownership, passion, reliability, teamwork;bachelor;Bachelor's;;1;agile, api, api development, azure, c#, ci/cd, clean architecture, clean code, docker, dotnet, frontend development, full stack, git, github, integration testing, kanban, less, oop, pair programming, qa, react, scrum, soa, software engineering, sql server, unit testing, version control;accountability, collaboration, mentoring, ownership, passion, reliability, teamwork;;;2;Software Engineer;Remote;814229.0;PrePass;4;USD;;;;;2.7;2025-10-03T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;;Phoenix, AZ;Information Technology Support Services;Information Technology;Unknown / Non-Applicable;201 to 500 Employees;Subsidiary or Business Segment;https://apply.workable.com/prepass;;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;bachelor
MongoDB, AWS, JavaScript, GitHub, Software testing, Linux;;0;none;0.9;0.9;;0;api, aws, figma, full stack, github, javascript, linux, mongodb, rails, ruby, slack;flexibility, independent, prioritization;;-;;1;api, aws, figma, full stack, github, javascript, linux, mongodb, rails, ruby, slack;flexibility, independent, prioritization;;;3;Junior Fullstack Engineer;Austin, TX;6473899.0;SerpApi;3;USD;ANNUAL;80000.0;90000.0;100000.0;5.0;2025-10-03T00:00:00;Full-time;WORK_FROM_HOME;Austin, TX;Texas;United States;30.26694;-97.74278;;Austin, TX;Software Development;Information Technology;Unknown / Non-Applicable;Unknown;Company - Private;https://serpapi.com/;;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;missing
Software deployment, AWS, Mentoring, Scalability, Software testing, TypeScript, Communication skills, Debugging;;0;ai_integration;0.7;0.7;ai, ml, aiml;0;agile, aws, code quality, debugging, full stack, react, software engineering, typescript;communication, continuous learning, cross-functional collaboration, growth mindset, innovation, leadership, mentoring, positive attitude, problem solving;bachelor;Bachelor's;;0;agile, aws, code quality, debugging, full stack, react, software engineering, typescript;communication, continuous learning, cross-functional collaboration, growth mindset, innovation, leadership, mentoring, positive attitude, problem solving;;;4;Software Eningeer II - Innovation;Beaverton, OR;1699.0;NIKE;14;USD;ANNUAL;104658.0;126453.0;152787.0;4.0;2025-09-23T00:00:00;Full-time;;Beaverton, OR;Oregon;United States;45.48722;-122.8025;Elliott Hill;Beaverton, OR;Consumer Product Manufacturing;Manufacturing;$10+ billion (USD);10000+ Employees;Company - Public;https://nike.com/careers;1972.0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;bachelor
CSS, Git, Docker, PostgreSQL, Scalability, Integration testing, Unit testing, GraphQL, Requirements gathering, TypeScript, HTML5;;0;none;0.9;0.9;;0;api, cloud computing, code coverage, code quality, css, docker, foundation, frontend development, full stack, git, graphql, html, integration testing, nest.js, next.js, node.js, postgresql, radix, react, storybook, typescript, ui, unit testing, version control;autonomous, collaboration, creativity, cross-functional collaboration, flexibility, innovation, integrity;;-;;1;api, cloud computing, code coverage, code quality, css, docker, foundation, frontend development, full stack, git, graphql, html, integration testing, nest.js, next.js, node.js, postgresql, radix, react, storybook, typescript, ui, unit testing, version control;autonomous, collaboration, creativity, cross-functional collaboration, flexibility, innovation, integrity;;;5;Full Stack Developer - React / Node.js;Remote;700771.0;Hello Innovation;317;USD;;;;;4.2;2025-09-23T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;Joe Joachim;Detroit, MI;Internet & Web Services;Information Technology;$25 to $100 million (USD);51 to 200 Employees;Company - Private;www.helloinnovation.com;2001.0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;missing
Git, Test-driven development, Machine learning, Integration testing, Business requirements, AI;ai, machine learning;1;none;0.85;0.85;ai/ml;0;api, ci/cd, frontend development, git, http, integration testing, laravel, machine learning, php, software engineering, solid, ui/ux, vue;initiative, ownership, responsibility;;-;;0;api, ci/cd, frontend development, git, http, integration testing, laravel, machine learning, php, software engineering, solid, ui/ux, vue;initiative, ownership, responsibility;;;6;Full Stack Engineer;Remote;5625375.0;PUTNAM RECRUITING GROUP;315;USD;ANNUAL;140000.0;160000.0;180000.0;4.3;2025-09-26T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;;El Segundo, CA;Staffing & Subcontracting;Human Resources & Staffing;Unknown / Non-Applicable;Unknown;Company - Private;http://www.putnamrecruiting.com/;;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;missing
Website maintenance, Performance tuning, Azure, CSS, Visual Studio, C#, JSON, XSLT, TFS, TypeScript, HTML5, T-SQL;;0;none;0.9;0.9;;0;api, azure, azure devops, backend development, c#, code quality, css, dotnet, frontend development, full stack, html, javascript, json, performance tuning, responsive design, sql server, t-sql, typescript, ux, version control, visual studio, vue, xml;cross-functional collaboration, innovation, passion;bachelor;Bachelor's;;1;api, azure, azure devops, backend development, c#, code quality, css, dotnet, frontend development, full stack, html, javascript, json, performance tuning, responsive design, sql server, t-sql, typescript, ux, version control, visual studio, vue, xml;cross-functional collaboration, innovation, passion;;;7;Full Stack Web Developer;Flint, MI;201130.0;MarkLogic;7;USD;ANNUAL;95000.0;95000.0;95000.0;3.7;2025-09-30T00:00:00;Contract;;Flint, MI;Michigan;United States;43.0125;-83.6875;Jeffrey Casale;Redwood City, CA;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD);201 to 500 Employees;Company - Private;https://www.marklogic.com/;2001.0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;bachelor
Project management lifecycle, PostgreSQL, Mentoring, Software testing, Communication skills;;0;ai_integration;0.9;0.9;ai;0;flask, frontend development, full stack, postgresql, python, react, safe, web development;collaboration, communication, curiosity, growth mindset, mentoring, ownership, problem solving, project management, responsibility;;-;;0;flask, frontend development, full stack, postgresql, python, react, safe, web development;collaboration, communication, curiosity, growth mindset, mentoring, ownership, problem solving, project management, responsibility;;;8;Fullstack Engineer;United States;;Diffit;48;USD;ANNUAL;100000.0;125000.0;150000.0;;2025-09-20T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;;;;;;;;;;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;missing
CI/CD, Azure, Go, Ansible, Web development, DevOps, Google Cloud Platform, MongoDB, AWS, Continuous improvement, GitHub, TypeScript, Communication skills, React Native;;0;none;0.9;0.9;;0;ansible, api, aws, azure, ci/cd, code quality, devops, frontend development, full stack, gcp, github, mongodb, react native, rest, software engineering, tailwind, typescript, vue, web development;collaboration, communication, creativity, flexibility, innovation, leadership, organization, passion, problem solving;;-;;1;ansible, api, aws, azure, ci/cd, code quality, devops, frontend development, full stack, gcp, github, mongodb, react native, rest, software engineering, tailwind, typescript, vue, web development;collaboration, communication, creativity, flexibility, innovation, leadership, organization, passion, problem solving;;;9;FULL-STACK WEB DEVELOPER [Remote];Remote;;Profile, LLC;0;USD;ANNUAL;80000.0;80000.0;80000.0;;2025-10-07T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;;;;;;;;;;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;missing
Software deployment, C#, DoD experience, Microservices, SDKs, S3, TypeScript, GitLab;;0;none;0.9;0.9;;0;agile, api, api gateway, aws, business intelligence, c#, ci/cd, cloudformation, devops, ecs, frontend development, full stack, gitlab, javascript, lambda, material ui, microservices, nest.js, next.js, postgresql, rds, react, s3, sdk, software engineering, sql server, typescript, ui, version control, visual studio code;flexibility, integrity;highschool;-;;1;agile, api, api gateway, aws, business intelligence, c#, ci/cd, cloudformation, devops, ecs, frontend development, full stack, gitlab, javascript, lambda, material ui, microservices, nest.js, next.js, postgresql, rds, react, s3, sdk, software engineering, sql server, typescript, ui, version control, visual studio code;flexibility, integrity;;;10;Software Engineer - React/AWS;Lexington Park, MD;881252.0;Saalex;42;USD;ANNUAL;90000.0;125000.0;160000.0;3.9;2025-09-25T00:00:00;Full-time;WORK_FROM_HOME;Lexington Park, MD;Maryland;United States;38.26667;-76.45417;;Camarillo, CA;Aerospace & Defense;Aerospace & Defense;$25 to $100 million (USD);501 to 1000 Employees;Company - Private;www.saalex.com;1999.0;1;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;highschool
Jira, Computer science, XML, Supply chain, NetSuite, SQL, Scalability, TypeScript, Communication skills;;0;none;0.9;0.9;;0;agile, api, full stack, javascript, jira, next.js, optimization, react, rest, sql, typescript, web services, xml;collaboration, communication, organization, problem solving, project management;bachelor;Bachelor's;;1;agile, api, full stack, javascript, jira, next.js, optimization, react, rest, sql, typescript, web services, xml;collaboration, communication, organization, problem solving, project management;;;11;Full Stack Developer (React/Next.js);Edina, MN;1178851.0;Element Electronics;0;USD;ANNUAL;82790.0;97400.0;112010.0;1.8;2025-10-07T00:00:00;;;Edina, MN;Minnesota;United States;44.88972;-93.34972;Michael O Shaughnessy;Edina, MN;Consumer Product Manufacturing;Manufacturing;Unknown / Non-Applicable;201 to 500 Employees;Company - Private;https://elementelectronics.com;2007.0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;bachelor
TensorFlow, Microservices, Docker, Requirements analysis, Mentoring, Scalability, S3, AI, Requirements gathering, TypeScript;ai, tensorflow;1;ai_integration;0.9;0.9;openai, tensorflow, aws ai, ai, ml, machine learning;1;agile, api, api design, api gateway, aws, ci/cd, cloud infrastructure, cloudwatch, devops, docker, ec2, frontend development, full stack, github, github actions, java, jenkins, kubernetes, lambda, microservices, openai, optimization, rds, react, rest, s3, software engineering, spring boot, tensorflow, test automation, typescript;accountability, adaptability, autonomous, collaboration, cross-functional collaboration, flexibility, innovation, leadership, mentoring, ownership, proactive;;-;;1;agile, api, api design, api gateway, aws, ci/cd, cloud infrastructure, cloudwatch, devops, docker, ec2, frontend development, full stack, github, github actions, java, jenkins, kubernetes, lambda, microservices, openai, optimization, rds, react, rest, s3, software engineering, spring boot, tensorflow, test automation, typescript;accountability, adaptability, autonomous, collaboration, cross-functional collaboration, flexibility, innovation, leadership, mentoring, ownership, proactive;;;12;Full-Stack Engineer;Remote;259721.0;Vinmar International;24;USD;;;;;3.8;2025-09-13T00:00:00;Full-time;WORK_FROM_HOME;;;United States;38.0;-97.0;;Houston, TX;Department, Clothing & Shoe Stores;Retail & Wholesale;$25 to $100 million (USD);51 to 200 Employees;Company - Private;www.vinmar.com;;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;missing
Rust, Node.js, Data structures, System design, Java, AWS, Analysis skills, C++, Integration testing, Unit testing, Python;;0;none;0.9;0.9;;0;angular, aws, backend development, c++, frontend development, full stack, integration testing, java, javascript, node.js, python, react, rust, system design, unit testing;analytical skills, flexibility, self-starter;bachelor;Bachelor's;;1;angular, aws, backend development, c++, frontend development, full stack, integration testing, java, javascript, node.js, python, react, rust, system design, unit testing;analytical skills, flexibility, self-starter;;;13;Full Stack Software Developer (Remote);Arlington, VA;1101568.0;Northstrat;43;USD;ANNUAL;65162.0;84069.0;108460.0;5.0;2025-09-25T00:00:00;Full-time;WORK_FROM_HOME;Arlington, VA;Virginia;United States;38.89028;-77.08444;Ricky Boyd;Sterling, VA;Aerospace & Defense;Aerospace & Defense;$25 to $100 million (USD);51 to 200 Employees;Company - Private;www.northstrat.com;2006.0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;bachelor
Content management systems, Test-driven development, Java, Microservices;;0;none;0.9;0.9;;0;accessibility, angular, ci/cd, frontend development, java, javascript, microservices, openshift, safe, software engineering, solid, test cases;attention to detail, collaboration, passion, problem solving, reliability;;-;;1;accessibility, angular, ci/cd, frontend development, java, javascript, microservices, openshift, safe, software engineering, solid, test cases;attention to detail, collaboration, passion, problem solving, reliability;;;14;Junior Full Stack Developer;;8843.0;Citi;47;USD;ANNUAL;84580.0;101300.0;118020.0;3.7;2025-09-21T00:00:00;Full-time;;Irving, TX;Texas;United States;32.81389;-96.94861;Jane Fraser;New York, NY;Investment & Asset Management;Financial Services;$10+ billion (USD);10000+ Employees;Company - Public;www.citigroup.com;1812.0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;missing
