skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
Node.js, Software troubleshooting, React, Relational databases, Data structures, Java, Databases, OOP, AWS, JavaScript, PostgreSQL, REST, Angular, APIs, AI, Communication skills, Python, Debugging, MySQL, Time management;ai;1;ai_integration;0.58;0.58;AI/ML, machine learning, deep learning, genai, llm;0;angular, api, aws, cloud services, debugging, frontend development, gcp, java, javascript, mysql, next.js, node.js, oop, postgresql, python, react, rest, software engineering;communication, cross-functional collaboration, flexibility, problem solving, time management, troubleshooting;;-;-;1;angular, api, aws, cloud services, debugging, frontend development, gcp, java, javascript, mysql, next.js, node.js, oop, postgresql, python, react, rest, software engineering;communication, cross-functional collaboration, flexibility, problem solving, time management, troubleshooting;;;1;Software Development Engineer;Remote;;Favtutor;14;INR;ANNUAL;2044657.0;2278920.0;2513182.0;;2025-09-29T00:00:00;Full-time, Part-time, Entry Level;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Developer;Unknown;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
Node.js, CSS, PHP, JavaScript, Continuous integration, HTML5, MySQL;;0;none;0.95;0.95;;0;codeigniter, continuous integration, css, express, frontend development, full stack, html, javascript, laravel, mongodb, mysql, node.js, php;flexibility;bachelor;-;0;1;codeigniter, continuous integration, css, express, frontend development, full stack, html, javascript, laravel, mongodb, mysql, node.js, php;flexibility;;;2;Software Engineer;Remote;;29kreativ;17;INR;MONTHLY;30000.0;32500.0;35000.0;;2025-09-26T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Engineer;Unknown;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Azure, React, English, MongoDB, Java, AWS, Angular, Kafka, Python, MySQL;;0;none;0.9;0.9;;0;angular, aws, azure, code quality, java, kafka, mongodb, mysql, ooad, python, react, software engineering;attention to detail, collaboration, innovation, integrity, self-motivated;bachelor;Bachelor's;3;1;angular, aws, azure, code quality, java, kafka, mongodb, mysql, ooad, python, react, software engineering;attention to detail, collaboration, innovation, integrity, self-motivated;;;3;Software Engineer;Remote;;Finewebarts Web Solutions;5;INR;ANNUAL;1000000.0;1250000.0;1500000.0;;2025-10-08T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Engineer;Unknown;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
CSS, C#, NoSQL, Git, .NET, Java, Databases, SQL, OOP, JavaScript, Python, HTML5, SDLC;;0;none;0.9;0.9;;0;c#, css, debugging, dotnet, git, html, java, javascript, nosql, oop, python, software engineering, sql, version control;cross-functional collaboration, flexibility, problem solving, troubleshooting;bachelor;-;0;1;c#, css, debugging, dotnet, git, html, java, javascript, nosql, oop, python, software engineering, sql, version control;cross-functional collaboration, flexibility, problem solving, troubleshooting;;;4;Software Engineer;India;;Cygnorix IT Services Private Limited;26;INR;ANNUAL;240000.0;370000.0;500000.0;;2025-09-17T00:00:00;Full-time, Internship, Temporary, Entry Level;;;;India;20.0;77.0;;;;;;;;;Unknown;Software Engineer;Unknown;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
Build automation, JavaScript, APIs, AI, Communication skills, Python;ai;1;ai_integration;0.72;0.72;AI, OpenAI, LangChain;0;api, api development, full stack, javascript, langchain, openai, python, software engineering;communication, problem solving, teamwork;;-;1;1;api, api development, full stack, javascript, langchain, openai, python, software engineering;communication, problem solving, teamwork;;;5;Junior Software Engineer;Remote;;Compumatrice Inc;6;INR;ANNUAL;235751.0;502691.0;769632.0;;2025-10-06T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;;;;;;;;Unknown;Software Engineer;Unknown;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;;
CI/CD, Cloud architecture, React, PHP, AWS, JavaScript, Continuous integration, Mentoring, APIs, AI, Leadership, TypeScript, Communication skills, MySQL;ai;1;ai_integration;0.6;0.6;AI, AI pipelines, machine learning;0;accessibility, api, api gateway, aws, aws certified, backend development, ci/cd, circleci, cloud architecture, code quality, continuous integration, ec2, frontend development, infrastructure as code, javascript, lambda, laravel, mysql, php, react, serverless, typescript;collaboration, communication, customer-focused, flexibility, innovation, leadership, mentoring, troubleshooting;;-;4;1;accessibility, api, api gateway, aws, aws certified, backend development, ci/cd, circleci, cloud architecture, code quality, continuous integration, ec2, frontend development, infrastructure as code, javascript, lambda, laravel, mysql, php, react, serverless, typescript;collaboration, communication, customer-focused, flexibility, innovation, leadership, mentoring, troubleshooting;;;6;Senior Software Engineer (Remote in India);Indore;1146223.0;Criteria Corp;13;INR;ANNUAL;2800000.0;3300000.0;3800000.0;3.2;2025-09-30T00:00:00;Full-time;WORK_FROM_HOME;Indore;Madhya Pradesh;India;22.68822;76.02661;Josh Millet;West Hollywood, United States;Software Development;Information Technology;$25 to $50 million (USD);51 to 200 Employees;Company - Private;2006.0;Unknown;Sr+ Software Engineer;J;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;;
Node.js, Software troubleshooting, React, Relational databases, Microsoft SQL Server, Git, Information security, Java, Application development, Databases, SQL, AWS, JavaScript, PostgreSQL, Ruby, Agile, S3, Integration testing, DynamoDB, Communication skills, MySQL;;0;none;0.75;0.75;;0;agile, aws, code quality, dynamodb, eks, frontend development, git, information security, integration testing, java, javascript, lambda, mysql, networking, node.js, postgresql, rails, react, rest, ruby, s3, safe, sql, sql server, version control;communication, cross-functional collaboration, flexibility, innovation, integrity, leadership, organization, problem solving, troubleshooting;;-;4;1;agile, aws, code quality, dynamodb, eks, frontend development, git, information security, integration testing, java, javascript, lambda, mysql, networking, node.js, postgresql, rails, react, rest, ruby, s3, safe, sql, sql server, version control;communication, cross-functional collaboration, flexibility, innovation, integrity, leadership, organization, problem solving, troubleshooting;;;7;Software Engineer 3;Remote;228598.0;Granicus India;2;INR;ANNUAL;2600000.0;2900000.0;3200000.0;2.8;2025-10-10T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;Mark Hynes;Denver, United States;Computer Hardware Development;Information Technology;$100 to $500 million (USD);1001 to 5000 Employees;Company - Private;1999.0;Unknown;Software Engineer;J;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;;
Jira, CI/CD, Elasticsearch, Azure, CSS, C#, Microsoft SQL Server, Git, .NET, Microservices, JavaScript, Continuous integration, Angular, Software development, APIs, HTML5, Design patterns;;0;none;0.9;0.9;;0;angular, api, azure, c#, ci/cd, cloud services, continuous integration, css, design patterns, dotnet, elasticsearch, full stack, git, html, javascript, jira, microservices, ngrx, qa, software engineering, sql server;collaboration, cross-functional collaboration, problem solving;;-;12;1;angular, api, azure, c#, ci/cd, cloud services, continuous integration, css, design patterns, dotnet, elasticsearch, full stack, git, html, javascript, jira, microservices, ngrx, qa, software engineering, sql server;collaboration, cross-functional collaboration, problem solving;;;8;Principal Software Engineer (REMOTE - upto 32 LPA);Remote;6941225.0;Kiash Soluitons LLP;6;INR;ANNUAL;2000000.0;2550000.0;3100000.0;-0.100000001;2025-10-06T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;;Vadodara, India;;;Unknown / Non-Applicable;Unknown;Company - Public;;Unknown;Sr+ Software Engineer;Unknown;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;
CI/CD, Azure, CSS, React, Relational databases, Software deployment, Microsoft SQL Server, .NET, Information security, Java, Databases, SQL, Analysis skills, JavaScript, Continuous integration, Mentoring, Software development, Integration testing, SaaS, Communication skills, HTML5, Time management;;0;none;0.85;0.85;;0;azure, ci/cd, continuous integration, css, dotnet, html, information security, integration testing, java, javascript, networking, react, rest, safe, software engineering, sql, sql server, storage;collaboration, communication, flexibility, innovation, integrity, mentoring, passion, problem solving, time management;;-;5;1;azure, ci/cd, continuous integration, css, dotnet, html, information security, integration testing, java, javascript, networking, react, rest, safe, software engineering, sql, sql server, storage;collaboration, communication, flexibility, innovation, integrity, mentoring, passion, problem solving, time management;;;9;Software Engineer 4;Bengaluru;228598.0;Granicus India;5;INR;ANNUAL;3400000.0;4000000.0;4600000.0;2.8;2025-10-08T00:00:00;Full-time;WORK_FROM_HOME;Bengaluru;Karnataka;India;12.96697;77.58728;Mark Hynes;Denver, United States;Computer Hardware Development;Information Technology;$100 to $500 million (USD);1001 to 5000 Employees;Company - Private;1999.0;Unknown;Software Engineer;J;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;;
CI/CD, Go, Cloud architecture, Node.js, Kubernetes, Test-driven development, .NET, Java, Microservices, AWS, Docker, Distributed systems, Terraform, Continuous integration, Communication skills;;0;none;0.92;0.92;;0;aws, ci/cd, cloud architecture, cloud native, code quality, continuous integration, devops, docker, dotnet, event-driven, frontend development, full stack, grafana, helm, infrastructure as code, java, kubernetes, microservices, node.js, performance tuning, qa, system design, terraform;communication, cross-functional collaboration, flexibility, innovation, leadership, mentoring, reliability;;-;9;1;aws, ci/cd, cloud architecture, cloud native, code quality, continuous integration, devops, docker, dotnet, event-driven, frontend development, full stack, grafana, helm, infrastructure as code, java, kubernetes, microservices, node.js, performance tuning, qa, system design, terraform;communication, cross-functional collaboration, flexibility, innovation, leadership, mentoring, reliability;;;10;Staff Software Engineer;Bengaluru;1301249.0;Serko Ltd;56;INR;ANNUAL;3167200.0;3959000.0;4750800.0;4.0;2025-09-18T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;;Auckland, New Zealand;Enterprise Software & Network Solutions;Information Technology;$25 to $50 million (USD);501 to 1000 Employees;Company - Public;2014.0;Unknown;Sr+ Software Engineer;J;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;;
Node.js, React, Software deployment, MongoDB, Information security, Databases, Analysis skills, Redis, Mentoring, Software development, GraphQL, Solr, SaaS, Communication skills, Time management;;0;none;0.85;0.85;;0;gcp, graphql, information security, mongodb, node.js, react, redis, rest, safe, software engineering, storage;collaboration, communication, flexibility, integrity, mentoring, passion, problem solving, time management;;-;6;1;gcp, graphql, information security, mongodb, node.js, react, redis, rest, safe, software engineering, storage;collaboration, communication, flexibility, integrity, mentoring, passion, problem solving, time management;;;11;Software Engineer 4 (Simpleview);Remote;228598.0;Granicus India;17;INR;ANNUAL;3000000.0;3570000.0;4140000.0;2.8;2025-09-26T00:00:00;Full-time;WORK_FROM_HOME;;;India;20.0;77.0;Mark Hynes;Denver, United States;Computer Hardware Development;Information Technology;$100 to $500 million (USD);1001 to 5000 Employees;Company - Private;1999.0;Unknown;Software Engineer;J;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;
Azure, Go, Data structures, MongoDB, Databases, AWS, Docker, PostgreSQL, REST, APIs, Communication skills;;0;none;0.9;0.9;;0;api, aws, azure, docker, gcp, golang, mongodb, postgresql, rest;communication, curiosity, problem solving, teamwork;;-;-;1;api, aws, azure, docker, gcp, golang, mongodb, postgresql, rest;communication, curiosity, problem solving, teamwork;;;12;Backend Engineer;Bengaluru;;Upreality;3;INR;MONTHLY;30000.0;30000.0;30000.0;;2025-10-10T00:00:00;Full-time;;Bengaluru;Karnataka;India;12.96697;77.58728;;;;;;;;;Unknown;Software Engineer;Unknown;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;
Go, Machine learning, JavaScript, Distributed systems, SQL Server Management Studio, Systems engineering, Python;machine learning;1;core_ai;0.96;0.96;AI, machine learning, deep learning, foundation models, generative models, SSM, state space models;1;databricks, foundation, frontend development, javascript, machine learning, next.js, python, sql server;autonomous, innovation, leadership, reliability;;-;-;1;databricks, foundation, frontend development, javascript, machine learning, next.js, python, sql server;autonomous, innovation, leadership, reliability;;;13;Software Engineer, India;Bengaluru;10118282.0;Cartesia;156;INR;ANNUAL;7000000.0;8000000.0;9000000.0;5.0;2025-10-09T00:00:00;Full-time;WORK_FROM_HOME;Bengaluru;Karnataka;India;12.96697;77.58728;;San Francisco, United States;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Software Engineer;Unknown;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Node.js, System design, MongoDB, SQL, JavaScript, Direct sales, APIs, MySQL;;0;none;0.88;0.88;;0;api, express, javascript, mongodb, mysql, node.js, software engineering, sql, system design;;;-;3;1;api, express, javascript, mongodb, mysql, node.js, software engineering, sql, system design;;;;14;Software Development Engineer (Backend);Remote;10776652.0;Codash Solutions;20;INR;MONTHLY;90000.0;95000.0;100000.0;-0.100000001;2025-09-23T00:00:00;Temporary;WORK_FROM_HOME;;;India;20.0;77.0;;Gurgaon, India;;;Unknown / Non-Applicable;Unknown;Company - Public;;Unknown;Software Developer;Unknown;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;
Computer science, Go, Data structures, English, Analysis skills, SDKs, Software development;;0;none;0.88;0.88;;0;golang, software engineering, ux;analytical skills, collaboration, communication, cross-functional collaboration, ownership;;-;2;1;golang, software engineering, ux;analytical skills, collaboration, communication, cross-functional collaboration, ownership;;;15;Backend Software Engineer;Bengaluru;5704727.0;100MS;54;INR;ANNUAL;1500000.0;2250000.0;3000000.0;3.5;2025-09-19T00:00:00;;;Bengaluru;Karnataka;India;12.96697;77.58728;;New Delhi, India;;;Unknown / Non-Applicable;1 to 50 Employees;Company - Private;;Unknown;Software Engineer;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;
